num,inc_time,arint,inc_type,location,dact
261,424858.0,1017.0,1.0,415,270
262,425381.0,523.0,1.0,38,295
263,428830.0,3449.0,1.0,556,468
264,430653.0,1823.0,1.0,157,213
265,432133.0,1480.0,1.0,235,2491
266,433886.0,1753.0,1.0,473,1444
267,434248.0,362.0,2.0,3,1645
268,436380.0,2132.0,3.0,260,3358
269,437640.0,1260.0,1.0,593,387
270,441323.0,3683.0,2.0,522,1089
271,443496.0,2173.0,2.0,522,683
272,446285.0,2789.0,1.0,428,263
273,446487.0,202.0,2.0,624,763
274,446621.0,134.0,1.0,131,271
275,450908.0,4287.0,2.0,224,1420
276,451753.0,845.0,1.0,148,603
277,452277.0,524.0,2.0,654,337
278,457396.0,5119.0,1.0,248,169
279,457542.0,146.0,2.0,489,839
280,457637.0,95.0,3.0,496,4516
281,471750.00000000006,14113.000000000058,2.0,326,1623
282,473920.00000000006,2170.0,1.0,287,301
283,477794.00000000006,3874.0,2.0,460,925
284,483851.00000000006,6057.0,2.0,337,372
285,484282.00000000006,431.0,1.0,186,780
286,485381.00000000006,1099.0,2.0,613,879
287,486450.00000000006,1069.0,1.0,229,604
288,486510.00000000006,60.0,1.0,495,606
289,487456.00000000006,946.0,1.0,240,705
290,488596.00000000006,1140.0,1.0,417,402
291,489335.00000000006,739.0,1.0,575,398
292,490849.00000000006,1514.0,1.0,242,314
293,491958.00000000006,1109.0,2.0,480,1595
294,495938.00000000006,3980.0,3.0,652,2698
295,495985.00000000006,47.0,1.0,557,2251
296,499136.00000000006,3151.0,2.0,652,434
297,499292.00000000006,156.0,1.0,585,629
298,502214.00000000006,2922.0,1.0,21,386
299,503411.00000000006,1197.0,1.0,557,1284
300,504974.00000000006,1563.0,1.0,568,232
301,508049.00000000006,3075.0,1.0,226,938
302,508543.00000000006,494.0,1.0,291,140
303,511037.00000000006,2494.0,2.0,412,1223
304,512685.00000000006,1648.0,2.0,8,1368
305,514020.00000000006,1335.0,1.0,297,410
306,514802.00000000006,782.0,1.0,513,1197
307,515308.00000000006,506.0,2.0,503,1246
308,516367.00000000006,1059.0,2.0,455,826
309,516563.00000000006,196.0,1.0,148,1707
310,520119.00000000006,3556.0,1.0,55,155
311,522362.00000000006,2243.0,3.0,400,6385
312,526273.0,3910.999999999942,2.0,597,190
313,526925.0,652.0,1.0,233,304
314,531125.0,4200.0,1.0,584,264
315,535315.0,4190.0,2.0,471,1680
316,536393.0,1078.0,1.0,652,229
317,538356.0,1963.0,1.0,432,279
318,544561.0,6205.0,3.0,190,3844
319,546966.0,2405.0,2.0,604,526
320,548034.0,1068.0,1.0,186,306
321,555286.0,7252.0,2.0,72,2302
322,556136.0,850.0,2.0,296,1761
323,559078.0,2942.0,1.0,263,943
324,563379.0,4301.0,2.0,568,466
325,572367.0,8988.0,1.0,587,194
326,574173.0,1806.0,2.0,395,1938
327,580210.0,6037.0,1.0,309,331
328,581589.0,1379.0,1.0,547,307
329,581645.0,56.0,1.0,228,244
330,582070.0,425.0,1.0,4,2364
331,582561.0,491.0,2.0,502,1427
332,584314.0,1753.0,2.0,226,2173
333,584505.0,191.0,2.0,523,1232
334,584640.0,135.0,2.0,641,2014
335,586326.0,1686.0,1.0,344,243
336,586601.0,275.0,1.0,66,362
337,586716.0,115.0,2.0,606,1099
338,586759.0,43.0,1.0,1,357
339,591413.0,4654.0,1.0,202,1042
340,596265.0,4852.0,1.0,5,307
341,600981.0,4716.0,2.0,519,371
342,601989.0,1008.0,1.0,34,90
343,604609.0,2620.0,1.0,557,514
344,606851.0,2242.0,1.0,604,192
345,607432.0,581.0,1.0,412,492
346,607786.0,354.0,3.0,138,4849
347,617638.0,9852.0,1.0,349,378
348,617892.0,254.0,1.0,64,422
349,618091.0,199.0,2.0,617,1306
350,618183.0,92.0,1.0,185,333
351,622716.0,4533.0,1.0,568,495
352,623622.0,906.0,1.0,643,217
353,625612.0,1990.0,3.0,21,2689
354,630199.0,4587.0,1.0,474,1079
355,650164.0,19965.0,2.0,338,206
356,650329.0,165.0,2.0,110,1438
357,650679.0,350.0,1.0,570,1853
358,658849.0,8170.0,1.0,5,623
359,661062.0,2213.0,1.0,452,1258
360,661086.0,24.0,1.0,346,365
361,661632.0,546.0,2.0,455,314
362,661899.0,267.0,2.0,115,758
363,663563.0,1664.0,2.0,227,768
364,666991.0,3428.0,1.0,525,258
365,669429.0,2438.0,2.0,69,1146
366,671874.0,2445.0,1.0,67,315
367,672349.0,475.0,1.0,581,240
368,674665.0,2316.0,1.0,141,439
369,677793.0,3128.0,1.0,414,382
370,677961.0,168.0,1.0,158,488
371,680326.0,2365.0,1.0,37,5379
372,686817.0,6491.0,1.0,692,1263
373,687326.0,509.0,3.0,674,2835
374,687412.0,86.0,1.0,424,150
375,687794.0,382.0,1.0,654,303
376,688102.0,308.0,2.0,147,227
377,688798.0,696.0,1.0,465,443
378,691050.0,2252.0,1.0,443,263
379,692764.0,1714.0,1.0,220,745
380,694355.0,1591.0,2.0,330,1947
381,694424.0,69.0,1.0,140,944
382,694986.0,562.0,1.0,452,304
383,696033.0,1047.0,2.0,51,1395
384,696832.0,799.0,1.0,570,2004
385,699155.0,2323.0,1.0,507,252
386,699921.0,766.0,1.0,559,514
387,700438.0,517.0,1.0,368,395
388,704993.0,4555.0,1.0,253,769
389,705790.0,797.0,2.0,33,1103
390,706026.0,236.0,1.0,370,416
391,706167.0,141.0,1.0,442,466
392,708466.0,2299.0,3.0,391,4718
393,709088.0,622.0,2.0,524,912
394,711207.0,2119.0,1.0,522,1171
395,713335.0,2128.0,1.0,321,419
396,720803.0,7468.0,1.0,626,425
397,725897.0,5094.0,1.0,376,356
398,734275.0,8378.0,1.0,412,158
399,736389.0,2114.0,1.0,587,554
400,736477.0,88.0,1.0,194,551
401,738627.0,2150.0,1.0,478,75
402,740619.0,1992.0,2.0,450,1867
403,741225.0,606.0,1.0,57,236
404,741317.0,92.0,1.0,202,399
405,745476.0,4159.0,1.0,577,295
406,748802.0,3326.0,2.0,376,629
407,748897.0,95.0,1.0,362,794
408,752604.0,3707.0,3.0,624,3451
409,752903.0,299.0,1.0,262,730
410,754362.0,1459.0,1.0,692,1266
411,754781.0,419.0,1.0,239,514
412,756309.0,1528.0,2.0,359,559
413,759043.0,2734.0,1.0,521,470
414,759947.0,904.0,1.0,510,736
415,761785.0,1838.0,2.0,74,1358
416,764223.0,2438.0,2.0,190,861
417,764973.0,750.0,1.0,480,313
418,765012.0,39.0,2.0,200,1608
419,765324.0,312.0,1.0,219,223
420,766762.0,1438.0,1.0,301,229
421,767830.0,1068.0,1.0,283,3493
422,767855.0,25.0,1.0,8,588
423,767889.0,34.0,1.0,175,1011
424,767933.0,44.0,1.0,355,584
425,768410.0,477.0,1.0,576,1115
426,769410.0,1000.0,1.0,534,169
427,769577.0,167.0,1.0,36,379
428,770598.0,1021.0,1.0,139,411
429,771274.0,676.0,1.0,55,263
430,772628.0,1354.0,1.0,69,143
431,774078.0,1450.0,1.0,300,182
432,778441.0,4363.0,1.0,534,181
433,778898.0,457.0,2.0,634,1113
434,779688.0,790.0,1.0,582,597
435,779775.0,87.0,1.0,534,1393
436,780669.0,894.0,1.0,596,207
437,787779.0,7110.0,1.0,315,344
438,790120.0,2341.0,1.0,372,575
439,792384.0,2264.0,2.0,226,1268
440,794453.0,2069.0,1.0,424,220
441,799818.0,5365.0,3.0,623,4702
442,801517.0,1699.0,1.0,380,686
443,803988.0,2471.0,1.0,58,167
444,806491.0,2503.0,2.0,681,986
445,815900.0,9409.0,3.0,548,3869
446,822380.0,6480.0,2.0,440,496
447,823363.0,983.0,1.0,556,466
448,823730.0,367.0,2.0,681,2046
449,824402.0,672.0,2.0,68,682
450,824682.0,280.0,2.0,122,572
451,830922.0,6240.0,2.0,601,619
452,832540.0,1618.0,1.0,79,192
453,833493.0,953.0,2.0,262,1610
454,834200.0,707.0,1.0,24,389
455,844556.0,10356.0,1.0,228,638
456,846935.0,2379.0,2.0,447,876
457,853150.0,6215.0,2.0,94,918
458,853819.0,669.0,2.0,614,1950
459,855139.0,1320.0,2.0,32,532
460,859284.0,4145.0,1.0,217,415
461,859546.0,262.0,1.0,358,328
462,861774.0,2228.0,1.0,493,404
463,861818.0,44.0,1.0,415,287
464,863984.0,2166.0,2.0,292,269
465,865723.0,1739.0,1.0,221,543
466,868629.0,2906.0,1.0,475,227
467,870316.0,1687.0,1.0,261,278
